appln_id;appln_auth;appln_nr;appln_kind;appln_filing_date;appln_filing_year;appln_nr_epodoc;appln_nr_original;ipr_type;receiving_office;internat_appln_id;int_phase;reg_phase;nat_phase;earliest_filing_date;earliest_filing_year;earliest_filing_id;earliest_publn_date;earliest_publn_year;earliest_pat_publn_id;granted;docdb_family_id;inpadoc_family_id;docdb_family_size;nb_citing_docdb_fam;nb_applicants;nb_inventors
487667650;"US";"201715629008";"A ";2017-06-21;2017;"US201715629008";"15629008";"PI";"  ";0;"N";"N";"Y";2016-06-21;2016;904879618;2017-12-21;2017;487667651;"N";60659630;10800636;1;0;1;6
487674020;"US";"201715624995";"A ";2017-06-16;2017;"US201715624995";"15624995";"PI";"  ";0;"N";"N";"Y";2016-06-17;2016;904924290;2017-12-21;2017;487674021;"N";60660781;10801299;1;0;1;4
483692189;"US";"201715607189";"A ";2017-05-26;2017;"US201715607189";"15607189";"PI";"  ";417961969;"Y";"N";"Y";2012-11-07;2012;904560927;2017-09-14;2017;483692190;"N";59787620;9484001;1;0;1;3
483692257;"US";"201715600510";"A ";2017-05-19;2017;"US201715600510";"15600510";"PI";"  ";456381503;"Y";"N";"Y";2014-11-20;2014;445593485;2017-09-14;2017;483692258;"N";54327201;10219810;9;1;1;6
488284509;"KR";"20170058670";"A ";2017-05-11;2017;"KR20170058670";"1020170058670";"PI";"  ";0;"N";"N";"Y";2016-05-12;2016;904890847;2017-11-22;2017;488284510;"N";58707411;10576362;7;0;1;6
477730086;"ES";"201730017";"A ";2017-01-10;2017;"ES20170030017";"201730017";"PI";"  ";0;"N";"N";"Y";2017-01-10;2017;477730086;2017-04-21;2017;477730087;"Y";58543629;10862815;2;0;2;4
492081163;"US";"201715607557";"A ";2017-05-29;2017;"US201715607557";"15607557";"PI";"  ";0;"N";"N";"Y";2016-09-20;2016;903836972;2018-03-22;2018;492081164;"N";61620433;10878100;1;0;1;1
488745687;"US";"201715718295";"A ";2017-09-28;2017;"US201715718295";"15718295";"PI";"  ";422772931;"Y";"N";"Y";2013-04-12;2013;441497408;2018-01-18;2018;488745688;"N";51689819;9641794;28;3;1;2
489138096;"US";"201715432025";"A ";2017-02-14;2017;"US201715432025";"15432025";"PI";"  ";0;"N";"N";"Y";2016-07-29;2016;482338250;2018-02-01;2018;489138097;"Y";59495290;10836757;2;0;1;3
496408956;"TW";"106128907";"A ";2017-08-25;2017;"TW20170128907";"106128907";"PI";"  ";0;"N";"N";"Y";2016-09-09;2016;484799116;2018-04-01;2018;496408957;"N";61525690;10874741;3;0;1;3
484487819;"US";"201715469647";"A ";2017-03-27;2017;"US201715469647";"15469647";"PI";"  ";0;"N";"N";"Y";2016-04-01;2016;904872116;2017-10-05;2017;484487820;"N";59961707;10723689;1;0;1;4
481541011;"US";"201715475292";"A ";2017-03-31;2017;"US201715475292";"15475292";"PI";"  ";0;"N";"N";"Y";2015-03-25;2015;470807283;2017-07-20;2017;481541012;"Y";59314920;10345693;1;0;1;4
490345408;"US";"201715675259";"A ";2017-08-11;2017;"US201715675259";"15675259";"PI";"  ";0;"N";"N";"Y";2014-01-30;2014;904756432;2018-02-22;2018;490345409;"N";53680432;9919751;3;2;1;4
490616951;"TW";"106108619";"A ";2017-03-15;2017;"TW20170108619";"106108619";"PI";"  ";0;"N";"N";"Y";2016-03-16;2016;904866103;2017-12-16;2017;490616952;"N";59851929;10709366;2;0;2;9
492955223;"US";"201715666494";"A ";2017-08-01;2017;"US201715666494";"15666494";"PI";"  ";0;"N";"N";"Y";2016-10-08;2016;904925971;2018-04-12;2018;492955224;"N";61828847;10892184;1;0;1;3
485630534;"US";"201715464402";"A ";2017-03-21;2017;"US201715464402";"15464402";"PI";"  ";0;"N";"N";"Y";2016-04-29;2016;484965965;2017-11-02;2017;485630535;"N";60040828;10753259;2;0;1;1
486793557;"US";"201715676819";"A ";2017-08-14;2017;"US201715676819";"15676819";"PI";"  ";0;"N";"N";"Y";2014-11-13;2014;456160095;2017-11-30;2017;486793558;"N";55182480;10093739;5;0;1;8
479912786;"EP";"17175056";"A ";2017-06-08;2017;"EP20170175056";"17175056";"PI";"  ";0;"N";"Y";"N";2016-07-29;2016;484891438;2018-01-31;2018;487838581;"N";59239769;10606210;2;0;1;4
487819522;"US";"201715423080";"A ";2017-02-02;2017;"US201715423080";"15423080";"PI";"  ";0;"N";"N";"Y";2016-06-27;2016;903837632;2017-12-28;2017;487819523;"N";60675593;10806248;1;0;1;5
487829482;"US";"201715447880";"A ";2017-03-02;2017;"US201715447880";"15447880";"PI";"  ";0;"N";"N";"Y";2016-06-22;2016;903838185;2017-12-28;2017;487829483;"N";60677541;10807180;1;0;1;6
483696749;"US";"201715604838";"A ";2017-05-25;2017;"US201715604838";"15604838";"PI";"  ";0;"N";"N";"Y";2014-05-08;2014;445919537;2017-09-14;2017;483696750;"N";54367593;10053282;5;1;1;3
480395633;"US";"201715449613";"A ";2017-03-03;2017;"US201715449613";"15449613";"PI";"  ";0;"N";"N";"Y";2014-04-09;2014;441210786;2017-06-22;2017;480395634;"N";53294614;10000138;5;3;1;1
480506414;"US";"201715456125";"A ";2017-03-10;2017;"US201715456125";"15456125";"PI";"  ";0;"N";"N";"Y";2013-07-26;2013;904633097;2017-06-29;2017;480506415;"N";52390459;9470143;68;70;1;4
488188925;"MD";"20170018";"A ";2017-02-15;2017;"MD20170000018";"a 2017 0018";"PI";"  ";0;"N";"N";"Y";2017-02-15;2017;488188925;2017-12-31;2017;488188926;"Y";60788175;49634340;1;0;1;7
488516766;"UY";"37253";"A ";2017-05-23;2017;"UY20170037253";"0001037253";"PI";"  ";0;"N";"N";"Y";2016-05-24;2016;904922477;2017-11-30;2017;488516767;"N";59062074;10606576;4;0;1;6
